restaurant_name,email,website,source
GW Fins,go@gwfins.com,http://gwfins.com/,original
Ruby Slipper,adacompliance@slippercafe.com,https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,original
Cochon Restaurant,hellocochon@linkrestaurantgroup.com,http://www.cochonrestaurant.com/,original
Fogo de Chão Brazilian Steakhouse,rshiplett@fogodechao.com,https://fogodechao.com/location/new-orleans/,original
Commander's Palace,info@commanderspalace.com,http://www.commanderspalace.com/,original
Pêche Seafood Grill,lizbodet@gmail.com,https://www.pecherestaurant.com/,original
Muriel's Jackson Square,info@muriels.com,http://www.muriels.com/,original
Katie's,dine@katiesinmidcity.com,http://www.katiesinmidcity.com/,original
Willie Mae's Scotch House,info@williemaesnola.com,http://www.williemaesnola.com/,original
Superior Seafood & Oyster Bar,info@superiorseafoodnola.com,http://www.superiorseafoodnola.com/,original
Daisy Dukes French Quarter,jade@daisydukesrestaurant.com,http://www.daisydukesrestaurant.com/,original
Brennan's,simone@simonesez.com,https://www.brennansneworleans.com/,original
Acme Oyster House,jakep@acmeoyster.com,http://acmeoyster.com/,original
Port of Call,soniat@portofcallnola.com,http://portofcallnola.com/,original
Luke,mjoyce@brg-hospitality.com,http://www.lukeneworleans.com/,original
Mambo’s,info@mambosnola.com,https://www.mambosnola.com/,original
Oceana Grill,ramsey@oceanagrill.com,http://www.oceanagrill.com/,original
Gumbo Shop,restaurant@gumboshop.com,http://gumboshop.com/,original
Deanie's Seafood Restaurant in the French Quarter,customerservice@deanies.com,https://deanies.com/metairie-deanie-s-seafood-restaurant-and-seafood-market-bucktown-main-location-downtown,original
"Cafe Beignet, Bourbon Street",specialorders@cafebeignet.com,https://www.cafebeignet.com/?y_source=1_MTAwNDcwOTkzMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,original
Olde Nola Cookery,contact@nolacookery.com,https://www.nolacookery.com/,original
Café Fleur De Lis - French Quarter,manager@cafefleurdelis.com,http://cafefleurdelis.com/,original
Neyow's Creole Café,office@neyows.com,http://www.neyows.com/,original
The Court of Two Sisters,court2si@courtoftwosisters.com,http://www.courtoftwosisters.com/,original
Felix's Restaurant & Oyster Bar,nadinehoover@felixs.com,https://felixs.com/,original
Coop's Place,charles@coopsplace.net,http://www.coopsplace.net/,original
Bourbon House,sparksc@bourbonhouse.com,http://bourbonhouse.com/,original
"Mr. Ed's Oyster Bar & Fish House, French Quarter (Bienville)",mredsgroup@gmail.com,http://mredsrestaurants.com/oyster-bar,original
Dat Dog,bill@datdog.com,https://www.datdog.com/,original
Palace Café by Dickie Brennan & Co.,bsmith@palacecafe.com,http://www.palacecafe.com/,original
Creole House Restaurant & Oyster Bar,camille.collins@creolecuisine.com,https://creolehouserestaurant.com/,original
Royal House Oyster Bar,s.young@royalhouserestaurant.com,https://royalhouserestaurant.com/,original
Mother's Restaurant,mothersrestaurantno@gmail.com,https://mothersrestaurant.net/menus/,original
Willa Jean,info@willajean.com,https://willajean.com/,original
Steamboat NATCHEZ - Official Site,charters@neworleanssteamboat.com,https://www.steamboatnatchez.com/,original
Central Grocery and Deli,centralgrocery923@yahoo.com,https://centralgrocery.com/,original
Hard Rock Cafe,neworleanssales@hardrock.com,https://cafe.hardrock.com/new-orleans/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings,original
Drago's Seafood Restaurant - Hilton New Orleans Riverside,michelle@dragosrestaurant.com,https://www.dragosrestaurant.com/,original
Melba's on Elysian Fields Ave,scott@melbas.com,https://www.melbas.com/,original
Mulate's | The Original Cajun Restaurant,chantelle@mulates.com,http://mulates.com/,original
Red Fish Grill,hrink@neworleans-food.com,https://www.redfishgrill.com/,original
French Market Restaurant and Bar - The Original,catrena@fmnola.com,https://www.fmnola.com/,original
Antoine's Restaurant,wchatelain@antoines.com,http://www.antoines.com/,original
Bacchanal Fine Wine & Spirits,catering@bacchanalwine.com,http://www.bacchanalwine.com/,original
DISTRICT Donuts Sliders Brew,stephen@turnchange.com,http://www.districtdonuts.com/,original
Mr. B's Bistro,dine@mrbsbistro.com,http://www.mrbsbistro.com/,original
St. Roch Market,will@strochmarket.com,https://www.strochmarket.com/,original
The Joint,jenny@alwayssmokin.com,http://alwayssmokin.com/,original
