restaurant_name,email,phone,cuisine_type,address,google_rating,review_count,website,facebook,instagram,first_name,city
GW Fins,go@gwfins.com,(504) 581-3467,Seafood restaurant,"808 Bienville St, New Orleans, LA 70112",4.8,5044.0,http://gwfins.com/,,,Owner,New Orleans
Ruby Slipper,adacompliance@slippercafe.com,(504) 420-6500,Breakfast restaurant,"204 Decatur St, New Orleans, LA 70130",4.7,5545.0,https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,https://www.facebook.com/BrunchWithRuby/,https://www.instagram.com/brunchwithruby/,Owner,New Orleans
Cochon Restaurant,hellocochon@linkrestaurantgroup.com,(504) 588-2123,Cajun restaurant,"930 Tchoupitoulas St Ste A, New Orleans, LA 70130",4.6,9922.0,http://www.cochonrestaurant.com/,https://www.facebook.com/CochonButcherDining/,https://www.instagram.com/cochonbutchernola/?hl=en,Owner,New Orleans
Fogo de Chão Brazilian Steakhouse,rshiplett@fogodechao.com,(504) 412-8900,Brazilian restaurant,"614 Canal St, New Orleans, LA 70130",4.6,7297.0,https://fogodechao.com/location/new-orleans/,https://www.facebook.com/fogorestaurants,https://www.instagram.com/fogo/,Owner,New Orleans
Commander's Palace,info@commanderspalace.com,(504) 899-8221,Creole restaurant,"1403 Washington Ave, New Orleans, LA 70130",4.6,8046.0,http://www.commanderspalace.com/,https://www.facebook.com/CommandersPalace/,https://www.instagram.com/commanderspalace,Owner,New Orleans
Ruby Slipper CBD,adacompliance@slippercafe.com,(504) 420-6100,Brunch restaurant,"200 Magazine St, New Orleans, LA 70130",4.6,10340.0,https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,https://www.facebook.com/BrunchWithRuby/,https://www.instagram.com/brunchwithruby/,Owner,New Orleans
Pêche Seafood Grill,lizbodet@gmail.com,(504) 522-1744,Seafood restaurant,"800 Magazine St, New Orleans, LA 70130",4.6,5212.0,https://www.pecherestaurant.com/,https://www.facebook.com/PecheNola/,https://www.instagram.com/pechenola/,Owner,New Orleans
Muriel's Jackson Square,info@muriels.com,(504) 568-1885,Creole restaurant,"801 Chartres St, New Orleans, LA 70116",4.6,4966.0,http://www.muriels.com/,https://www.facebook.com/murielsjacksonsquare,https://instagram.com/murielsnola/,Owner,New Orleans
Katie's,dine@katiesinmidcity.com,(504) 488-6582,Seafood restaurant,"3701 Iberville St, New Orleans, LA 70119",4.6,4867.0,http://www.katiesinmidcity.com/,,,Owner,New Orleans
Willie Mae's Scotch House,info@williemaesnola.com,+1 504-354-8194,Southern restaurant (US),"2401 St Ann St., New Orleans, LA 70119, United States",4.5,5838.0,http://www.williemaesnola.com/,http://facebook.com/WillieMaesNOLA,https://instagram.com/williemaesnola,Owner,New Orleans
Superior Seafood & Oyster Bar,info@superiorseafoodnola.com,(504) 293-3474,Seafood restaurant,"4338 St Charles Ave, New Orleans, LA 70115",4.5,5593.0,http://www.superiorseafoodnola.com/,,https://www.instagram.com/superiorseafood/,Owner,New Orleans
Daisy Dukes French Quarter,jade@daisydukesrestaurant.com,(504) 561-5171,Breakfast restaurant,"121 Chartres St, New Orleans, LA 70130",4.5,8084.0,http://www.daisydukesrestaurant.com/,https://www.facebook.com/DaisyDukesFrenchQuarter/,,Owner,New Orleans
Brennan's,simone@simonesez.com,(504) 525-9711,Restaurant,"417 Royal St, New Orleans, LA 70130",4.5,5649.0,https://www.brennansneworleans.com/,https://www.facebook.com/BrennansNewOrleans,https://www.instagram.com/brennansnola/,Owner,New Orleans
Daisy Dukes Creole Kitchen,jade@daisydukesrestaurant.com,(504) 522-2218,Breakfast restaurant,"123 Carondelet St, New Orleans, LA 70130",4.5,6049.0,http://www.daisydukesrestaurant.com/,https://www.facebook.com/DaisyDukesFrenchQuarter/,,Owner,New Orleans
Acme Oyster House,jakep@acmeoyster.com,(504) 522-5973,Seafood restaurant,"724 Iberville St, New Orleans, LA 70130",4.5,12175.0,http://acmeoyster.com/,https://www.facebook.com/AcmeOysterHouse/,https://www.instagram.com/acmeoyster,Owner,New Orleans
Port of Call,soniat@portofcallnola.com,(504) 523-0120,Hamburger restaurant,"838 Esplanade Ave, New Orleans, LA 70116",4.5,6090.0,http://portofcallnola.com/,https://www.facebook.com/portofcallnola,,Owner,New Orleans
Luke,mjoyce@brg-hospitality.com,(504) 378-2840,Creole restaurant,"333 St Charles Ave, New Orleans, LA 70130",4.5,4963.0,http://www.lukeneworleans.com/,https://www.facebook.com/lukeneworleans/,https://www.instagram.com/lukeneworleans/?hl=en,Owner,New Orleans
Mambo’s,info@mambosnola.com,(504) 407-3717,Cajun restaurant,"411 Bourbon St, New Orleans, LA 70130",4.4,5012.0,https://www.mambosnola.com/,https://www.facebook.com/mambosnola,https://www.instagram.com/mambos_nola/,Owner,New Orleans
Oceana Grill,ramsey@oceanagrill.com,(504) 525-6002,Seafood restaurant,"739 Conti St, New Orleans, LA 70130",4.4,18682.0,http://www.oceanagrill.com/,https://www.facebook.com/oceanagrill,https://www.instagram.com/oceanagrill/,Owner,New Orleans
Gumbo Shop,restaurant@gumboshop.com,(504) 525-1486,Seafood restaurant,"630 St Peter, New Orleans, LA 70116",4.4,9730.0,http://gumboshop.com/,https://www.facebook.com/GumboShopNewOrleans/?ref=embed_page,https://www.instagram.com/explore/locations/368320/gumbo-shop/,Owner,New Orleans
Deanie's Seafood Restaurant in the French Quarter,customerservice@deanies.com,(504) 581-1316,Seafood restaurant,"841 Iberville St, New Orleans, LA 70112",4.4,11539.0,https://deanies.com/metairie-deanie-s-seafood-restaurant-and-seafood-market-bucktown-main-location-downtown,https://www.facebook.com/DeaniesSeafoodFrenchQuarter,https://www.instagram.com/deaniesseafood,Owner,New Orleans
"Cafe Beignet, Bourbon Street",specialorders@cafebeignet.com,(504) 525-2611,Breakfast restaurant,"311 Bourbon St, New Orleans, LA 70130",4.4,6530.0,https://www.cafebeignet.com/?y_source=1_MTAwNDcwOTkzMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.facebook.com/CafeBeignetNOLA/,https://www.instagram.com/cafebeignetnola/?ref=badge,Owner,New Orleans
Olde Nola Cookery,contact@nolacookery.com,(504) 525-4577,Restaurant,"205 Bourbon St, New Orleans, LA 70130",4.4,6592.0,https://www.nolacookery.com/,https://www.facebook.com/OldeNolaCookery/,https://www.instagram.com/oldenolacookery/,Owner,New Orleans
Café Fleur De Lis - French Quarter,manager@cafefleurdelis.com,(504) 354-1660,Breakfast restaurant,"301 Chartres St, New Orleans, LA 70130",4.5,4763.0,http://cafefleurdelis.com/,,,Owner,New Orleans
Neyow's Creole Café,office@neyows.com,(504) 827-5474,Creole restaurant,"3332 Bienville St, New Orleans, LA 70119",4.3,7427.0,http://www.neyows.com/,https://www.facebook.com/neyows-creole-cafe-127614750599979/,https://www.instagram.com/neyows_creole_cafe,Owner,New Orleans
The Court of Two Sisters,court2si@courtoftwosisters.com,(504) 522-7261,Creole restaurant,"613 Royal St, New Orleans, LA 70130",4.3,8226.0,http://www.courtoftwosisters.com/,https://www.facebook.com/thecourtoftwosisters/,https://www.instagram.com/courtoftwosisters/,Owner,New Orleans
Felix's Restaurant & Oyster Bar,nadinehoover@felixs.com,(504) 522-4440,Cajun restaurant,"739 Iberville St, New Orleans, LA 70130",4.3,7426.0,https://felixs.com/,https://www.facebook.com/felixsoysterbar,https://www.instagram.com/felixsoysterbar/,Owner,New Orleans
Coop's Place,charles@coopsplace.net,(504) 525-9053,Creole restaurant,"1109 Decatur St, New Orleans, LA 70116",4.3,6161.0,http://www.coopsplace.net/,,https://www.instagram.com/coopsplacenola/,Owner,New Orleans
Bourbon House,sparksc@bourbonhouse.com,(504) 522-0111,Seafood restaurant,"144 Bourbon St, New Orleans, LA 70130",4.3,5601.0,http://bourbonhouse.com/,https://www.facebook.com/DBbourbonhouse,https://www.instagram.com/Bourbonhousenola/,Owner,New Orleans
"Mr. Ed's Oyster Bar & Fish House, French Quarter (Bienville)",mredsgroup@gmail.com,(504) 309-4848,Seafood restaurant,"512 Bienville St, New Orleans, LA 70130",4.5,4577.0,http://mredsrestaurants.com/oyster-bar,https://www.facebook.com/MrEdsRestaurantGroup/,https://www.instagram.com/mredsrestaurantgroup/,Owner,New Orleans
Dat Dog,bill@datdog.com,(504) 309-3362,Hot dog restaurant,"601 Frenchmen St, New Orleans, LA 70116",4.4,4719.0,https://www.datdog.com/,,,Owner,New Orleans
Palace Café by Dickie Brennan & Co.,bsmith@palacecafe.com,+1 504-523-1661,Creole restaurant,"605 Canal St, New Orleans, LA 70130, United States",4.5,4428.0,http://www.palacecafe.com/,https://www.facebook.com/DBpalacecafe,http://instagram.com/palacecafe_nola,Owner,New Orleans
Creole House Restaurant & Oyster Bar,camille.collins@creolecuisine.com,(504) 323-2109,Restaurant,"509 Canal St, New Orleans, LA 70130",4.2,9091.0,https://creolehouserestaurant.com/,,,Owner,New Orleans
Royal House Oyster Bar,s.young@royalhouserestaurant.com,(504) 528-2601,Seafood restaurant,"441 Royal St, New Orleans, LA 70130",4.2,5732.0,https://royalhouserestaurant.com/,,,Owner,New Orleans
Mother's Restaurant,mothersrestaurantno@gmail.com,(504) 523-9656,Po’ boys restaurant,"401 Poydras St, New Orleans, LA 70130",4.2,16579.0,https://mothersrestaurant.net/menus/,https://www.facebook.com/mothersrestaurant,,Owner,New Orleans
Daisy Mae's Southern Fried Chicken & Breakfast,jade@daisydukesrestaurant.com,(504) 218-5031,Breakfast restaurant,"920 Poydras St, New Orleans, LA 70112",4.5,4370.0,https://www.daisydukesrestaurant.com/daisy-mae-s-920-poydras-st,https://www.facebook.com/DaisyDukesFrenchQuarter/,,Owner,New Orleans
