restaurant_name,website,contact_page,google_rating,review_count
Cajun Seafood,https://rebrand.ly/cajun-nola,,4.4,6330.0
The Rum House,https://www.therumhouse.com/,,4.6,4169.0
Willie's Chicken Shack,http://willieschickenshack.com/,,4.0,3381.0
Nice Guys Nola,https://www.niceguysnola.com/,,4.1,3028.0
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81708,,3.8,2913.0
Manning's Sports Bar and Grill,https://www.caesars.com/caesars-new-orleans/restaurants/mannings-sports-bar-and-grill?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=NOR33&utm_content=restaurant&y_source=1_NDM2NjkxNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,3.7,2847.0
Waffle House,https://locations.wafflehouse.com/neworleans-la-2196,https://www.wafflehouse.com/contact/,3.9,2070.0
Tacos & Beer,https://tacosandbeer.shop/,,4.2,2011.0
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81909,,3.9,1864.0
Who Dat Coffee Cafe,http://www.facebook.com/whodatcoffeecafe,https://www.facebook.com/help/637205020878504,4.7,1803.0
Raising Cane's Chicken Fingers,https://locations.raisingcanes.com/la/new-orleans/4740-chef-menteur-hwy,https://raisingcanes.com/contact-us,4.3,1755.0
We Dat's,http://www.wedats.com/,,3.9,1605.0
Another Broken Egg Cafe,https://www.anotherbrokenegg.com/locations/new-orleans-la-magazine-street/,https://anotherbrokenegg.com/contact-us/,4.2,1521.0
"Aroma Indian Cuisine, Downtown",https://aromanolaindiancuisine.com/aromaindiancuisine-downtown?utm_source=google,,4.6,1488.0
Olive,http://olivenola.com/,https://olivenola.com/index.php/contact/,4.8,1474.0
Headquarters by Nice Guys Nola,https://www.headquartersnola.com/,,4.5,1469.0
Betsy's Pancake House,https://betsyspancakehouse.shop/,,4.3,1411.0
Bullard Seafood and Grill,http://www.bullardseafood.com/,http://www.bullardseafood.com/contact,4.3,1390.0
Mena's Palace,http://menaspalace.com/,,4.5,1341.0
Willie's Chicken Shack,http://willieschickenshack.com/,,4.0,1323.0
Red Dog Diner,https://www.reddogdiner.com/,,4.7,1314.0
Mona Lisa,http://www.monalisaneworleans.com/,,4.5,1244.0
Mr. Ed's Oyster Bar & Fish House Mid City,https://www.mredsmidcity.com/,,4.1,1244.0
Cleo's,https://cleosrestaurant.shop/menu,,4.1,1221.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/1301-st-charles-ave?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.4,1217.0
Biscuits & Buns,https://www.biscuitsandbunsonbanks.com/,,4.2,1171.0
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81957,,3.6,1169.0
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81711,,3.6,1164.0
Venezia New Orleans,http://www.venezianeworleans.com/,,4.3,1145.0
IHOP,https://restaurants.ihop.com/en-us/la/new-orleans/breakfast-12150-i-10-service-rd-4485?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=4485&utm_content=website,https://www.ihop.com/en/contact-us,3.3,1125.0
Lilly's Café,https://lillyscafe.shop/,,4.7,1122.0
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81725,,3.6,1102.0
Barrow’s Catfish - Earhart,http://www.barrowscatfish.com/,https://barrowscatfish.com/contact/,4.6,1088.0
Waffle House,https://locations.wafflehouse.com/neworleans-la-1911,https://www.wafflehouse.com/contact/,3.6,1061.0
Lebanon Grill,https://lebanongrillnola.com/,,4.8,1015.0
Ikura Hibachi And Sushi,https://ikurahibachisushi.com/,,4.0,1007.0
Raising Cane's Chicken Fingers,https://locations.raisingcanes.com/la/new-orleans/3235-s.-carrolton-ave.,https://raisingcanes.com/contact-us,4.4,994.0
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81824,,3.5,983.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/6166-elysian-fields?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.2,966.0
Rally's,https://locations.checkersandrallys.com/la/new-orleans/2201-s.-claiborne-ave.?y_source=1_MzAyMjAxOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.checkersandrallys.com/contact-us,3.6,959.0
Gazebo Cafe,https://gazebocafenola.com/,,4.4,954.0
Café Navarre,http://www.cafenavarre.com/,http://cafenavarre.com/contact,4.5,950.0
Zea Rotisserie & Bar,https://zearestaurants.com/location/new-orleans/,https://zearestaurants.com/contact-us/,4.4,944.0
Rally's,https://locations.checkersandrallys.com/la/new-orleans/131-n.-broad-street?y_source=1_MzAyMjAwNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.checkersandrallys.com/contact-us,3.7,924.0
Please-U-Restaurant,http://www.pleaseunola.com/,http://pleaseunola.com/contact-us.html,4.3,903.0
Bread and butter cafe,http://breadandbutternola.com/,,4.6,901.0
Tout de Suite Cafe,http://www.toutdesuitecafe.com/,,4.8,893.0
Waffle House,https://locations.wafflehouse.com/neworleans-la-1837,https://www.wafflehouse.com/contact/,3.8,889.0
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/5701-read-rd?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,https://www.wendys.com/contact-us,3.3,885.0
