restaurant_name,website,email_1,email_2,all_emails,source_page,status
Cajun Seafood,https://rebrand.ly/cajun-nola,,,,,not_found
The Rum House,https://www.therumhouse.com/,,,,,not_found
Willie's Chicken Shack,http://willieschickenshack.com/,accountmanager@akminvestments.net,,accountmanager@akminvestments.net,http://willieschickenshack.com/,found
Nice Guys Nola,https://www.niceguysnola.com/,,,,,not_found
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81708,,,,,not_found
Manning's Sports Bar and Grill,https://www.caesars.com/caesars-new-orleans/restaurants/mannings-sports-bar-and-grill?utm_campaign=gmb&utm_source=google&utm_medium=local&utm_term=NOR33&utm_content=restaurant&y_source=1_NDM2NjkxNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,not_found
Waffle House,https://locations.wafflehouse.com/neworleans-la-2196,,,,,not_found
Tacos & Beer,https://tacosandbeer.shop/,placejoys.com@gmail.com,,placejoys.com@gmail.com,https://tacosandbeer.shop/,found
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81909,,,,,not_found
Who Dat Coffee Cafe,http://www.facebook.com/whodatcoffeecafe,,,,,not_found
Raising Cane's Chicken Fingers,https://locations.raisingcanes.com/la/new-orleans/4740-chef-menteur-hwy,,,,,not_found
We Dat's,http://www.wedats.com/,,,,,not_found
Another Broken Egg Cafe,https://www.anotherbrokenegg.com/locations/new-orleans-la-magazine-street/,,,,,not_found
"Aroma Indian Cuisine, Downtown",https://aromanolaindiancuisine.com/aromaindiancuisine-downtown?utm_source=google,,,,,not_found
Olive,http://olivenola.com/,,,,,not_found
Headquarters by Nice Guys Nola,https://www.headquartersnola.com/,,,,,not_found
Betsy's Pancake House,https://betsyspancakehouse.shop/,wherevi.com@gmail.com,,wherevi.com@gmail.com,https://betsyspancakehouse.shop/,found
Bullard Seafood and Grill,http://www.bullardseafood.com/,,,,,not_found
Mena's Palace,http://menaspalace.com/,,,,,not_found
Willie's Chicken Shack,http://willieschickenshack.com/,accountmanager@akminvestments.net,,accountmanager@akminvestments.net,http://willieschickenshack.com/,found
Red Dog Diner,https://www.reddogdiner.com/,,,,,not_found
Mona Lisa,http://www.monalisaneworleans.com/,,,,,not_found
Mr. Ed's Oyster Bar & Fish House Mid City,https://www.mredsmidcity.com/,wecare@www.mredsmidcity.com,,wecare@www.mredsmidcity.com,https://www.mredsmidcity.com/,found
Cleo's,https://cleosrestaurant.shop/menu,wherevi.com@gmail.com,,wherevi.com@gmail.com,https://cleosrestaurant.shop/menu,found
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/1301-st-charles-ave?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,,,,,not_found
Biscuits & Buns,https://www.biscuitsandbunsonbanks.com/,,,,,not_found
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81957,,,,,not_found
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81711,,,,,not_found
Venezia New Orleans,http://www.venezianeworleans.com/,,,,,not_found
IHOP,https://restaurants.ihop.com/en-us/la/new-orleans/breakfast-12150-i-10-service-rd-4485?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=4485&utm_content=website,,,,,not_found
Lilly's Café,https://lillyscafe.shop/,,,,,not_found
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81725,,,,,not_found
Barrow’s Catfish - Earhart,http://www.barrowscatfish.com/,,,,,not_found
Waffle House,https://locations.wafflehouse.com/neworleans-la-1911,,,,,not_found
Lebanon Grill,https://lebanongrillnola.com/,,,,,not_found
Ikura Hibachi And Sushi,https://ikurahibachisushi.com/,ikurasushihibachi@gmail.com,,ikurasushihibachi@gmail.com,https://ikurahibachisushi.com/,found
Raising Cane's Chicken Fingers,https://locations.raisingcanes.com/la/new-orleans/3235-s.-carrolton-ave.,,,,,not_found
Popeyes Louisiana Kitchen,https://www.popeyes.com/store-locator/store/restaurant_81824,,,,,not_found
Wendy's,https://locations.wendys.com/united-states/la/new-orleans/6166-elysian-fields?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US,,,,,not_found
Rally's,https://locations.checkersandrallys.com/la/new-orleans/2201-s.-claiborne-ave.?y_source=1_MzAyMjAxOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,,,,not_found
Gazebo Cafe,https://gazebocafenola.com/,,,,,not_found
Café Navarre,http://www.cafenavarre.com/,,,,,not_found
