restaurant_name,email,phone,cuisine_type,address,google_rating,review_count,website,facebook,instagram,first_name,city
GW Fins,go@gwfins.com,(504) 581-3467,Seafood restaurant,"808 Bienville St, New Orleans, LA 70112",4.8,5044.0,http://gwfins.com/,,,Owner,New Orleans
Ruby Slipper,adacompliance@slippercafe.com,(504) 420-6500,Breakfast restaurant,"204 Decatur St, New Orleans, LA 70130",4.7,5545.0,https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,https://www.facebook.com/BrunchWithRuby/,https://www.instagram.com/brunchwithruby/,Owner,New Orleans
Cochon Restaurant,hellocochon@linkrestaurantgroup.com,(504) 588-2123,Cajun restaurant,"930 Tchoupitoulas St Ste A, New Orleans, LA 70130",4.6,9922.0,http://www.cochonrestaurant.com/,https://www.facebook.com/CochonButcherDining/,https://www.instagram.com/cochonbutchernola/?hl=en,Owner,New Orleans
Fogo de Chão Brazilian Steakhouse,rshiplett@fogodechao.com,(504) 412-8900,Brazilian restaurant,"614 Canal St, New Orleans, LA 70130",4.6,7297.0,https://fogodechao.com/location/new-orleans/,https://www.facebook.com/fogorestaurants,https://www.instagram.com/fogo/,Owner,New Orleans
Commander's Palace,info@commanderspalace.com,(504) 899-8221,Creole restaurant,"1403 Washington Ave, New Orleans, LA 70130",4.6,8046.0,http://www.commanderspalace.com/,https://www.facebook.com/CommandersPalace/,https://www.instagram.com/commanderspalace,Owner,New Orleans
Ruby Slipper CBD,adacompliance@slippercafe.com,(504) 420-6100,Brunch restaurant,"200 Magazine St, New Orleans, LA 70130",4.6,10340.0,https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,https://www.facebook.com/BrunchWithRuby/,https://www.instagram.com/brunchwithruby/,Owner,New Orleans
Pêche Seafood Grill,lizbodet@gmail.com,(504) 522-1744,Seafood restaurant,"800 Magazine St, New Orleans, LA 70130",4.6,5212.0,https://www.pecherestaurant.com/,https://www.facebook.com/PecheNola/,https://www.instagram.com/pechenola/,Owner,New Orleans
Muriel's Jackson Square,info@muriels.com,(504) 568-1885,Creole restaurant,"801 Chartres St, New Orleans, LA 70116",4.6,4966.0,http://www.muriels.com/,https://www.facebook.com/murielsjacksonsquare,https://instagram.com/murielsnola/,Owner,New Orleans
Katie's,dine@katiesinmidcity.com,(504) 488-6582,Seafood restaurant,"3701 Iberville St, New Orleans, LA 70119",4.6,4867.0,http://www.katiesinmidcity.com/,,,Owner,New Orleans
Willie Mae's Scotch House,info@williemaesnola.com,+1 504-354-8194,Southern restaurant (US),"2401 St Ann St., New Orleans, LA 70119, United States",4.5,5838.0,http://www.williemaesnola.com/,http://facebook.com/WillieMaesNOLA,https://instagram.com/williemaesnola,Owner,New Orleans
Superior Seafood & Oyster Bar,info@superiorseafoodnola.com,(504) 293-3474,Seafood restaurant,"4338 St Charles Ave, New Orleans, LA 70115",4.5,5593.0,http://www.superiorseafoodnola.com/,,https://www.instagram.com/superiorseafood/,Owner,New Orleans
Daisy Dukes French Quarter,jade@daisydukesrestaurant.com,(504) 561-5171,Breakfast restaurant,"121 Chartres St, New Orleans, LA 70130",4.5,8084.0,http://www.daisydukesrestaurant.com/,https://www.facebook.com/DaisyDukesFrenchQuarter/,,Owner,New Orleans
Brennan's,simone@simonesez.com,(504) 525-9711,Restaurant,"417 Royal St, New Orleans, LA 70130",4.5,5649.0,https://www.brennansneworleans.com/,https://www.facebook.com/BrennansNewOrleans,https://www.instagram.com/brennansnola/,Owner,New Orleans
Daisy Dukes Creole Kitchen,jade@daisydukesrestaurant.com,(504) 522-2218,Breakfast restaurant,"123 Carondelet St, New Orleans, LA 70130",4.5,6049.0,http://www.daisydukesrestaurant.com/,https://www.facebook.com/DaisyDukesFrenchQuarter/,,Owner,New Orleans
Acme Oyster House,jakep@acmeoyster.com,(504) 522-5973,Seafood restaurant,"724 Iberville St, New Orleans, LA 70130",4.5,12175.0,http://acmeoyster.com/,https://www.facebook.com/AcmeOysterHouse/,https://www.instagram.com/acmeoyster,Owner,New Orleans
Port of Call,soniat@portofcallnola.com,(504) 523-0120,Hamburger restaurant,"838 Esplanade Ave, New Orleans, LA 70116",4.5,6090.0,http://portofcallnola.com/,https://www.facebook.com/portofcallnola,,Owner,New Orleans
Luke,mjoyce@brg-hospitality.com,(504) 378-2840,Creole restaurant,"333 St Charles Ave, New Orleans, LA 70130",4.5,4963.0,http://www.lukeneworleans.com/,https://www.facebook.com/lukeneworleans/,https://www.instagram.com/lukeneworleans/?hl=en,Owner,New Orleans
Café Fleur De Lis - French Quarter,manager@cafefleurdelis.com,(504) 354-1660,Breakfast restaurant,"301 Chartres St, New Orleans, LA 70130",4.5,4763.0,http://cafefleurdelis.com/,,,Owner,New Orleans
"Mr. Ed's Oyster Bar & Fish House, French Quarter (Bienville)",mredsgroup@gmail.com,(504) 309-4848,Seafood restaurant,"512 Bienville St, New Orleans, LA 70130",4.5,4577.0,http://mredsrestaurants.com/oyster-bar,https://www.facebook.com/MrEdsRestaurantGroup/,https://www.instagram.com/mredsrestaurantgroup/,Owner,New Orleans
Palace Café by Dickie Brennan & Co.,bsmith@palacecafe.com,+1 504-523-1661,Creole restaurant,"605 Canal St, New Orleans, LA 70130, United States",4.5,4428.0,http://www.palacecafe.com/,https://www.facebook.com/DBpalacecafe,http://instagram.com/palacecafe_nola,Owner,New Orleans
Daisy Mae's Southern Fried Chicken & Breakfast,jade@daisydukesrestaurant.com,(504) 218-5031,Breakfast restaurant,"920 Poydras St, New Orleans, LA 70112",4.5,4370.0,https://www.daisydukesrestaurant.com/daisy-mae-s-920-poydras-st,https://www.facebook.com/DaisyDukesFrenchQuarter/,,Owner,New Orleans
Willa Jean,info@willajean.com,(504) 509-7334,Breakfast restaurant,"611 O'Keefe Ave, New Orleans, LA 70113",4.6,4127.0,https://willajean.com/,https://www.facebook.com/WillaJeanNOLA,https://www.instagram.com/willajeanneworleans,Owner,New Orleans
Central Grocery and Deli,centralgrocery923@yahoo.com,(504) 523-1620,Italian grocery store,"923 Decatur St, New Orleans, LA 70116",4.6,4116.0,https://centralgrocery.com/,https://www.facebook.com/centralgrocery,https://www.instagram.com/centralgrocerynola/,Owner,New Orleans
Ruby Slipper,adacompliance@slippercafe.com,(504) 470-0800,Breakfast restaurant,"1001 Canal St, New Orleans, LA 70112",4.5,4181.0,https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,https://www.facebook.com/BrunchWithRuby/,https://www.instagram.com/brunchwithruby/,Owner,New Orleans
Red Fish Grill,hrink@neworleans-food.com,(504) 598-1200,Seafood restaurant,"115 Bourbon St, New Orleans, LA 70130",4.5,4123.0,https://www.redfishgrill.com/,https://www.facebook.com/RedFishGrillBourbonStreet/,https://www.instagram.com/redfishgrill/,Owner,New Orleans
Bacchanal Fine Wine & Spirits,catering@bacchanalwine.com,(504) 948-9111,Wine bar,"600 Poland Ave, New Orleans, LA 70117",4.7,3635.0,http://www.bacchanalwine.com/,,,Owner,New Orleans
Ruby Slipper,adacompliance@slippercafe.com,(504) 420-2800,Brunch restaurant,"2001 Burgundy St, New Orleans, LA 70116",4.6,3801.0,https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,https://www.facebook.com/BrunchWithRuby/,https://www.instagram.com/brunchwithruby/,Owner,New Orleans
DISTRICT Donuts Sliders Brew,stephen@turnchange.com,(504) 570-6945,American restaurant,"2209 Magazine St, New Orleans, LA 70130",4.6,3702.0,http://www.districtdonuts.com/,https://www.facebook.com/districtdonuts/,https://www.instagram.com/districtdonuts/?hl=en,Owner,New Orleans
Mr. B's Bistro,dine@mrbsbistro.com,(504) 523-2078,Creole restaurant,"201 Royal St, New Orleans, LA 70130",4.5,3860.0,http://www.mrbsbistro.com/,https://www.facebook.com/pages/Mr-Bs-Bistro/147119162025565,https://instagram.com/mrbsbistro,Owner,New Orleans
St. Roch Market,will@strochmarket.com,+1 504-267-0388,Restaurant,"2381 St Claude Ave, New Orleans, LA 70117, United States",4.6,3558.0,https://www.strochmarket.com/,https://www.facebook.com/strochmarket/photos/a.1445612938849998.1073741832.666439733433993/1639994036078553/?type=3&theater,http://instagram.com/st.rochmarket,Owner,New Orleans
The Joint,jenny@alwayssmokin.com,(504) 949-3232,Barbecue restaurant,"701 Mazant St, New Orleans, LA 70117",4.6,3513.0,http://alwayssmokin.com/,https://www.facebook.com/144791448899016,https://www.instagram.com/thejointbbq,Owner,New Orleans
Li'l Dizzy's Cafe,arkesha@lildizzyscafe.net,(504) 766-8687,Creole restaurant,"1500 Esplanade Ave, New Orleans, LA 70116",4.6,3351.0,http://lildizzyscafe.net/,https://www.facebook.com/107192374663902,https://www.instagram.com/lildizzyscafe504,Owner,New Orleans
Blue Oak BBQ,info@blueoakbbq.com,(504) 822-2583,Barbecue restaurant,"900 N Carrollton Ave, New Orleans, LA 70119",4.5,3537.0,http://www.blueoakbbq.com/,,,Owner,New Orleans
The Camellia Grill,camellia1grill@yahoo.com,(504) 309-2679,American restaurant,"626 S Carrollton Ave, New Orleans, LA 70118",4.6,3335.0,http://www.camelliagrillnola.com/,https://www.facebook.com/theCamelliaGrill,https://www.instagram.com/camellia_grill/,Owner,New Orleans
Mandina's Restaurant,mandinas1932@yahoo.com,(504) 482-9179,Italian restaurant,"3800 Canal St, New Orleans, LA 70119",4.5,3513.0,https://www.mandinasrestaurant.com/,https://www.facebook.com/194189647296051,https://www.instagram.com/Mandinasrestaurant,Owner,New Orleans
