restaurant_name,email,website,source,yelp_rating,yelp_review_count,yelp_price,yelp_categories,yelp_phone,yelp_address,yelp_url
GW Fins,go@gwfins.com,http://gwfins.com/,original,4.6,3417.0,$$$,Seafood,(504) 581-3467,"808 Bienville St, New Orleans, LA, 70112",https://www.yelp.com/biz/gw-fins-new-orleans-2?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Ruby Slipper,adacompliance@slippercafe.com,https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,original,4.4,1903.0,$$,"Breakfast & Brunch, Cafes",(504) 420-6500,"204 Decatur St, New Orleans, LA, 70130",https://www.yelp.com/biz/ruby-slipper-decatur-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Cochon Restaurant,hellocochon@linkrestaurantgroup.com,http://www.cochonrestaurant.com/,original,4.2,5454.0,$$,"Cajun/Creole, Southern, Cocktail Bars",(504) 588-2123,"930 Tchoupitoulas St, New Orleans, LA, 70130",https://www.yelp.com/biz/cochon-new-orleans-5?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Fogo de Chão Brazilian Steakhouse,rshiplett@fogodechao.com,https://fogodechao.com/location/new-orleans/,original,3.8,907.0,$$$,"Brazilian, Steakhouses",(504) 412-8900,"614 Canal St, New Orleans, LA, 70130",https://www.yelp.com/biz/fogo-de-ch%C3%A3o-brazilian-steakhouse-new-orleans-6?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Commander's Palace,info@commanderspalace.com,http://www.commanderspalace.com/,original,4.3,6205.0,$$$,"Cajun/Creole, Cocktail Bars, Breakfast & Brunch",(504) 899-8221,"1403 Washington Ave, New Orleans, LA, 70130",https://www.yelp.com/biz/commanders-palace-new-orleans-2?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Pêche Seafood Grill,lizbodet@gmail.com,https://www.pecherestaurant.com/,original,4.3,2809.0,$$$,Seafood,(504) 522-1744,"800 Magazine St, New Orleans, LA, 70130",https://www.yelp.com/biz/p%C3%AAche-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Muriel's Jackson Square,info@muriels.com,http://www.muriels.com/,original,4.2,2675.0,$$$,Cajun/Creole,(504) 568-1885,"801 Chartres St, New Orleans, LA, 70116",https://www.yelp.com/biz/muriels-jackson-square-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Katie's,dine@katiesinmidcity.com,http://www.katiesinmidcity.com/,original,4.2,1916.0,$$,"American, Bars, Cajun/Creole",(504) 488-6582,"3701 Iberville St, New Orleans, LA, 70119",https://www.yelp.com/biz/katies-restaurant-and-bar-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Willie Mae's Scotch House,info@williemaesnola.com,http://www.williemaesnola.com/,original,4.3,4095.0,$$,"Southern, Comfort Food",(504) 822-9503,"2401 St Ann Sreet, New Orleans, LA, 70119",https://www.yelp.com/biz/willie-maes-scotch-house-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Superior Seafood & Oyster Bar,info@superiorseafoodnola.com,http://www.superiorseafoodnola.com/,original,4.1,2226.0,$$,"Seafood, Cajun/Creole, Brasseries",(504) 293-3474,"4338 St Charles Ave, New Orleans, LA, 70115",https://www.yelp.com/biz/superior-seafood-and-oyster-bar-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
Daisy Dukes French Quarter,jade@daisydukesrestaurant.com,http://www.daisydukesrestaurant.com/,original,3.7,1723.0,$$,"Cajun/Creole, Breakfast & Brunch, Southern",(504) 561-5171,"121 Chartres St, New Orleans, LA, 70130",https://www.yelp.com/biz/daisy-dukes-french-quarter-new-orleans?adjust_creative=3unnOhHuozEoDDn4s6c-Mg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=3unnOhHuozEoDDn4s6c-Mg
